2024-12-30 19:02:33 - Model: ComplexCNN_1230_UE
2024-12-30 19:02:33 - Learning rate: 0.001
2024-12-30 19:02:33 - Number of epochs: 128
2024-12-30 19:02:33 - Train batch size: 64
2024-12-30 19:02:33 - Test batch size: 64
2024-12-30 19:02:33 - Federated learning epochs: 100
2024-12-30 19:02:33 - Number of clients: 10
2024-12-30 19:02:37 - Before train, fl0Client4 gNB_test Accuracy  10.0 %
2024-12-30 19:02:37 - Before train, fl0Client4 client_test Accuracy  11.3 %
2024-12-30 19:04:50 - running Epoch:90, fl78Client4,avg_loss is 0.14925022842657246
2024-12-30 19:04:51 - running Epoch:91, fl78Client4,avg_loss is 0.027433443752808578
2024-12-30 19:04:53 - running Epoch:92, fl78Client4,avg_loss is 0.0878608069659647
2024-12-30 19:04:54 - running Epoch:93, fl78Client4,avg_loss is 0.03336084265404829
2024-12-30 19:04:55 - running Epoch:94, fl78Client4,avg_loss is 0.017009460665668726
2024-12-30 19:04:57 - running Epoch:95, fl78Client4,avg_loss is 0.004385347040152749
2024-12-30 19:04:58 - running Epoch:96, fl78Client4,avg_loss is 0.001284839512986246
2024-12-30 19:05:00 - running Epoch:97, fl78Client4,avg_loss is 0.0007734769861611001
2024-12-30 19:05:01 - running Epoch:98, fl78Client4,avg_loss is 0.0007029902265032111
2024-12-30 19:05:03 - running Epoch:99, fl78Client4,avg_loss is 0.0019419872832823106
2024-12-30 19:05:04 - running Epoch:100, fl78Client4,avg_loss is 0.02785101159649538
2024-12-30 19:05:05 - running Epoch:101, fl78Client4,avg_loss is 0.06647021133272873
2024-12-30 19:05:07 - running Epoch:102, fl78Client4,avg_loss is 0.06977513094898313
2024-12-30 19:05:08 - running Epoch:103, fl78Client4,avg_loss is 0.06406479556101692
2024-12-30 19:05:10 - running Epoch:104, fl78Client4,avg_loss is 0.0244428081241955
2024-12-30 19:05:11 - running Epoch:105, fl78Client4,avg_loss is 0.021281876020307382
2024-12-30 19:05:12 - running Epoch:106, fl78Client4,avg_loss is 0.016430695973523847
2024-12-30 19:05:14 - running Epoch:107, fl78Client4,avg_loss is 0.007670577879160859
2024-12-30 19:05:15 - running Epoch:108, fl78Client4,avg_loss is 0.014961855115928567
2024-12-30 19:05:17 - running Epoch:109, fl78Client4,avg_loss is 0.016053895511803706
2024-12-30 19:05:18 - running Epoch:110, fl78Client4,avg_loss is 0.02795660445802621
2024-12-30 19:05:19 - running Epoch:111, fl78Client4,avg_loss is 0.0246684411986395
2024-12-30 19:05:21 - running Epoch:112, fl78Client4,avg_loss is 0.011182445639492413
2024-12-30 19:05:22 - running Epoch:113, fl78Client4,avg_loss is 0.0030789384487157987
2024-12-30 19:05:24 - running Epoch:114, fl78Client4,avg_loss is 0.014740372725687456
2024-12-30 19:05:25 - running Epoch:115, fl78Client4,avg_loss is 0.01658156931734072
2024-12-30 19:05:27 - running Epoch:116, fl78Client4,avg_loss is 0.0125451032569995
2024-12-30 19:05:28 - running Epoch:117, fl78Client4,avg_loss is 0.009398548729568345
2024-12-30 19:05:29 - running Epoch:118, fl78Client4,avg_loss is 0.02852539380509819
2024-12-30 19:05:31 - running Epoch:119, fl78Client4,avg_loss is 0.038440582832790136
2024-12-30 19:05:32 - running Epoch:120, fl78Client4,avg_loss is 0.026366868227019558
2024-12-30 19:05:34 - running Epoch:121, fl78Client4,avg_loss is 0.06776538869156797
2024-12-30 19:05:35 - running Epoch:122, fl78Client4,avg_loss is 0.020553051275230615
2024-12-30 19:05:37 - running Epoch:123, fl78Client4,avg_loss is 0.03462158629443803
2024-12-30 19:05:38 - running Epoch:124, fl78Client4,avg_loss is 0.008740740674039455
2024-12-30 19:05:39 - running Epoch:125, fl78Client4,avg_loss is 0.015943425508167026
2024-12-30 19:05:41 - running Epoch:126, fl78Client4,avg_loss is 0.01435670435925595
2024-12-30 19:05:42 - running Epoch:127, fl78Client4,avg_loss is 0.015618091613633405
2024-12-30 19:05:43 - After train, fl0Client4 gNB_test Accuracy  59.440000000000005 %
2024-12-30 19:05:44 - After train, fl0Client4 Test Accuracy  58.9 %
2024-12-30 19:05:45 - Before train, fl0Client1 gNB_test Accuracy  10.0 %
2024-12-30 19:05:46 - Before train, fl0Client1 client_test Accuracy  10.6 %
2024-12-30 19:05:47 - running Epoch:0, fl78Client1,avg_loss is 1.9317129035539264
2024-12-30 19:05:49 - running Epoch:1, fl78Client1,avg_loss is 1.5973772791367542
2024-12-30 19:05:50 - running Epoch:2, fl78Client1,avg_loss is 1.4809785507902313
2024-12-30 19:05:51 - running Epoch:3, fl78Client1,avg_loss is 1.2938058376312256
2024-12-30 19:05:53 - running Epoch:4, fl78Client1,avg_loss is 1.258774658547172
2024-12-30 19:05:54 - running Epoch:5, fl78Client1,avg_loss is 1.0783839784091032
2024-12-30 19:05:55 - running Epoch:6, fl78Client1,avg_loss is 0.9988909054406082
2024-12-30 19:05:57 - running Epoch:7, fl78Client1,avg_loss is 0.8720258217823657
2024-12-30 19:05:58 - running Epoch:8, fl78Client1,avg_loss is 0.7697493569760383
2024-12-30 19:06:00 - running Epoch:9, fl78Client1,avg_loss is 0.6886196166654176
2024-12-30 19:06:01 - running Epoch:10, fl78Client1,avg_loss is 0.6506501700304732
2024-12-30 19:06:02 - running Epoch:11, fl78Client1,avg_loss is 0.5292567263675642
2024-12-30 19:06:04 - running Epoch:12, fl78Client1,avg_loss is 0.45307277727730666
2024-12-30 19:06:05 - running Epoch:13, fl78Client1,avg_loss is 0.4212810231160514
2024-12-30 19:06:07 - running Epoch:14, fl78Client1,avg_loss is 0.265325490715383
2024-12-30 19:06:08 - running Epoch:15, fl78Client1,avg_loss is 0.26186234485122223
2024-12-30 19:06:10 - running Epoch:16, fl78Client1,avg_loss is 0.1645125249707246
2024-12-30 19:06:11 - running Epoch:17, fl78Client1,avg_loss is 0.21380051480063908
2024-12-30 19:06:13 - running Epoch:18, fl78Client1,avg_loss is 0.14789146168416814
2024-12-30 19:06:14 - running Epoch:19, fl78Client1,avg_loss is 0.2160699311408061
2024-12-30 19:06:16 - running Epoch:20, fl78Client1,avg_loss is 0.11739786776796549
2024-12-30 19:06:17 - running Epoch:21, fl78Client1,avg_loss is 0.11134451700822462
2024-12-30 19:06:18 - running Epoch:22, fl78Client1,avg_loss is 0.10165995373567448
2024-12-30 19:06:20 - running Epoch:23, fl78Client1,avg_loss is 0.13529215870967395
2024-12-30 19:06:21 - running Epoch:24, fl78Client1,avg_loss is 0.17999706867657886
2024-12-30 19:06:23 - running Epoch:25, fl78Client1,avg_loss is 0.16890553712750536
2024-12-30 19:06:24 - running Epoch:26, fl78Client1,avg_loss is 0.050330213754426076
2024-12-30 19:06:26 - running Epoch:27, fl78Client1,avg_loss is 0.12206305521599288
2024-12-30 19:06:27 - running Epoch:28, fl78Client1,avg_loss is 0.08396463695017597
2024-12-30 19:06:29 - running Epoch:29, fl78Client1,avg_loss is 0.08092526790296918
2024-12-30 19:06:30 - running Epoch:30, fl78Client1,avg_loss is 0.04492570807909758
2024-12-30 19:06:32 - running Epoch:31, fl78Client1,avg_loss is 0.03813202484787878
2024-12-30 19:06:33 - running Epoch:32, fl78Client1,avg_loss is 0.03503128083767605
2024-12-30 19:06:35 - running Epoch:33, fl78Client1,avg_loss is 0.023545097907462828
2024-12-30 19:06:36 - running Epoch:34, fl78Client1,avg_loss is 0.030515044318995425
2024-12-30 19:06:38 - running Epoch:35, fl78Client1,avg_loss is 0.02173744216878144
2024-12-30 19:06:39 - running Epoch:36, fl78Client1,avg_loss is 0.06573175762697489
2024-12-30 19:06:41 - running Epoch:37, fl78Client1,avg_loss is 0.05406289903853749
2024-12-30 19:06:42 - running Epoch:38, fl78Client1,avg_loss is 0.07947706402267647
2024-12-30 19:06:43 - running Epoch:39, fl78Client1,avg_loss is 0.0982568914223981
2024-12-30 19:06:45 - running Epoch:40, fl78Client1,avg_loss is 0.026753846774411186
2024-12-30 19:06:46 - running Epoch:41, fl78Client1,avg_loss is 0.09954152470071434
2024-12-30 19:06:47 - running Epoch:42, fl78Client1,avg_loss is 0.13403978506456823
2024-12-30 19:06:49 - running Epoch:43, fl78Client1,avg_loss is 0.035800573457315375
2024-12-30 19:06:51 - running Epoch:44, fl78Client1,avg_loss is 0.010452145337026944
2024-12-30 19:06:52 - running Epoch:45, fl78Client1,avg_loss is 0.012888876009969
2024-12-30 19:06:53 - running Epoch:46, fl78Client1,avg_loss is 0.009323412280870878
2024-12-30 19:06:55 - running Epoch:47, fl78Client1,avg_loss is 0.006160591323189496
2024-12-30 19:06:56 - running Epoch:48, fl78Client1,avg_loss is 0.006735807233873189
2024-12-30 19:06:58 - running Epoch:49, fl78Client1,avg_loss is 0.0013578629499119692
2024-12-30 19:06:59 - running Epoch:50, fl78Client1,avg_loss is 0.0005879258946773502
2024-12-30 19:07:01 - running Epoch:51, fl78Client1,avg_loss is 0.0003916014275321836
2024-12-30 19:07:02 - running Epoch:52, fl78Client1,avg_loss is 0.0005324819790824026
2024-12-30 19:07:04 - running Epoch:53, fl78Client1,avg_loss is 0.00029045249232959703
2024-12-30 19:07:05 - running Epoch:54, fl78Client1,avg_loss is 0.002601367818655651
2024-12-30 19:07:06 - running Epoch:55, fl78Client1,avg_loss is 0.317643619606292
2024-12-30 19:07:08 - running Epoch:56, fl78Client1,avg_loss is 0.18229989075585257
2024-12-30 19:07:09 - running Epoch:57, fl78Client1,avg_loss is 0.09758780293661772
2024-12-30 19:07:11 - running Epoch:58, fl78Client1,avg_loss is 0.07216530741646272
2024-12-30 19:07:12 - running Epoch:59, fl78Client1,avg_loss is 0.11691775811906857
2024-12-30 19:07:14 - running Epoch:60, fl78Client1,avg_loss is 0.1565195540367048
