2024-12-30 12:31:08 - Model: SimpleCNN_1230_UE
2024-12-30 12:31:08 - Learning rate: 0.001
2024-12-30 12:31:08 - Number of epochs: 64
2024-12-30 12:31:08 - Train batch size: 64
2024-12-30 12:31:08 - Test batch size: 64
2024-12-30 12:31:08 - Federated learning epochs: 100
2024-12-30 12:31:08 - Number of clients: 10
2024-12-30 12:31:13 - Before train, fl0Client4 gNB_test Accuracy  12.34 %
2024-12-30 12:31:13 - Before train, fl0Client4 client_test Accuracy  13.4 %
2024-12-30 12:34:36 - running Epoch:52, round:78,avg_loss is 5.505739116852976e-05
2024-12-30 12:34:37 - running Epoch:53, round:78,avg_loss is 5.195020559215122e-05
2024-12-30 12:34:38 - running Epoch:54, round:78,avg_loss is 4.973884771763689e-05
2024-12-30 12:34:40 - running Epoch:55, round:78,avg_loss is 4.676512156648538e-05
2024-12-30 12:34:41 - running Epoch:56, round:78,avg_loss is 4.428980090652439e-05
2024-12-30 12:34:42 - running Epoch:57, round:78,avg_loss is 4.240540287746971e-05
2024-12-30 12:34:43 - running Epoch:58, round:78,avg_loss is 4.000898779044222e-05
2024-12-30 12:34:44 - running Epoch:59, round:78,avg_loss is 3.7630070932485794e-05
2024-12-30 12:34:45 - running Epoch:60, round:78,avg_loss is 3.597409897937021e-05
2024-12-30 12:34:46 - running Epoch:61, round:78,avg_loss is 3.497614103206949e-05
2024-12-30 12:34:47 - running Epoch:62, round:78,avg_loss is 3.320928416415663e-05
2024-12-30 12:34:49 - running Epoch:63, round:78,avg_loss is 3.116111168575243e-05
2024-12-30 12:34:49 - After train, fl0Client7 gNB_test Accuracy  58.81999999999999 %
2024-12-30 12:34:50 - After train, fl0Client7 Test Accuracy  57.8 %
2024-12-30 12:34:50 - get all clients models ready
2024-12-30 12:34:50 - model prunning done
2024-12-30 12:34:51 - -----fl0merged_model Test Accuracy  54.190000000000005 %-----
2024-12-30 12:34:52 - Before train, fl1Client9 gNB_test Accuracy  54.190000000000005 %
2024-12-30 12:34:53 - Before train, fl1Client9 client_test Accuracy  57.199999999999996 %
